站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,,,,,,,,,,,,,,
121,38,205,172,154,85,197,75,44,8,30,194,线路29,1308,105711913,105711913,实验幼儿园,1213,105791035,105791035,双桥龙滩子,1411,105797394,105797394,二片区,1375,105732371,105732371,香山美地,1348,105744113,105744113,绿地海棠湾,1267,105743574,105743574,金竹桥,1401,105741699,105741699,转洞桥,1255,105683210,105683210,明星,1222,105751947,105751947,红林村,1177,105763747,105763747,东升苑,1199,105727953,105727953,西南城,1398,105733253,105733253,蓝湖星宇,,,,,,,,28,1197,,1197,105760181,29563782,大足区第二人民医
58,33,183,219,51,147,97,187,180,93,224,100,线路30,1237,105763029,105763029,九节河,1205,105752095,105752095,五金市场,1386,105729978,105729978,城南创新小学,1425,105807809,105807809,龙水温泉中心,1230,105757610,105757610,还房新村,1337,105791804,105791804,白鹤家园,1279,105742101,105742101,双湖招抚站,1391,105703372,105703372,西门桥,1383,105701580,105701580,区交巡警支队,1275,105767388,105767388,公园路,1430,105796527,105796527,沙桥二队,1282,105774127,105774127,车城印象,,,,,,,,29,1198,,1198,105727301,29676340,龙腾御景
74,15,129,69,44,115,105,90,214,47,223,96,线路31,1253,105766801,105766801,渡槽,1184,105749186,105749186,龙西岔路口,1316,105766667,105766667,双路公园,1248,105773738,105773738,大足一中,1222,105751947,105751947,红林村,1302,105774331,105774331,晓城春天,1288,105737407,105737407,双塔中学,1272,105773872,105773872,高坝桥,1420,105758465,105758465,红岩汽修厂,1225,105748350,105748350,邮亭派出所,1429,105760093,105760093,德恒物业城,1278,105793833,105793833,二片区,,,,,,,,30,1199,,1199,105727953,29669619,西南城
159,41,13,191,11,56,99,91,229,45,233,206,线路32,1358,105815421,105815421,玉龙镇政府,1219,105750964,105750964,朝野集团,1182,105762099,105762099,龙水汽车站,1395,105723912,105723912,龙岗卫生院,1180,105755569,105755569,五金市场,1235,105768835,105768835,高坡1队,1281,105769453,105769453,兴业广场,1273,105768322,105768322,老菜市,1436,105785644,105785644,龙滩子办事处,1223,105746800,105746800,邮亭汽车站,1440,105762701,105762701,龙水汽车站,1412,105760495,105760495,新城港湾,,,,,,,,31,1203,,1203,105711128,29702427,大足中学
64,70,104,187,223,20,142,106,47,41,121,115,线路33,1243,105747383,105747383,足丰水泥厂,1249,105734644,105734644,金星村二组,1287,105799732,105799732,白鹤村,1391,105703372,105703372,西门桥,1429,105760093,105760093,德恒物业城,1189,105728895,105728895,金星村,1331,105765575,105765575,电信大楼,1289,105764060,105764060,龙东新村,1225,105748350,105748350,邮亭派出所,1219,105750964,105750964,朝野集团,1308,105711913,105711913,实验幼儿园,1302,105774331,105774331,晓城春天,,,,,,,,32,1204,,1204,105749178,29575585,西部模具城
162,34,134,116,146,155,11,206,43,152,151,6,线路34,1362,105769924,105769924,广满酒店,1206,105755993,105755993,船锚厂,1321,105749705,105749705,倒庙村委会,1303,105777052,105777052,双桥经开区管委会,1336,105741442,105741442,长龙农业,1354,105736964,105736964,烈火四队,1180,105755569,105755569,五金市场,1412,105760495,105760495,新城港湾,1221,105750631,105750631,天福村,1346,105696583,105696583,69队修理厂,1345,105709983,105709983,区中医院,913,105788196,105788196,西湖变电站,,,,,,,,33,1205,,1205,105752095,29565801,五金市场
152,25,16,181,196,38,223,10,80,202,158,32,线路35,1346,105696583,105696583,69队修理厂,1194,105736681,105736681,一号子口,1185,105748216,105748216,龙水工业园区,1384,105704898,105704898,书香世家,1400,105710738,105710738,大足汽车站,1213,105791035,105791035,双桥龙滩子,1429,105760093,105760093,德恒物业城,1179,105751609,105751609,废铁市场,1262,105748225,105748225,艾诺斯,1406,105791561,105791561,宝顶景区停车场,1357,105810485,105810485,大龙湾酒店,1204,105749178,105749178,西部模具城,,,,,,,,34,1206,,1206,105755993,29561844,船锚厂
204,70,19,93,155,169,129,23,42,186,47,171,线路36,1408,105762821,105762821,街心花园,1249,105734644,105734644,金星村二组,1188,105727902,105727902,凤凰城,1275,105767388,105767388,公园路,1354,105736964,105736964,烈火四队,1372,105773716,105773716,火炬十一队,1316,105766667,105766667,双路公园,1192,105771195,105771195,龙水镇政府,1220,105762964,105762964,街心花园,1390,105701412,105701412,区交巡警支队,1225,105748350,105748350,邮亭派出所,1374,105709512,105709512,大足中学,,,,,,,,35,1208,,1208,105764173,29486371,时代广场
167,232,213,169,194,214,212,10,228,107,96,206,线路37,1370,105786964,105786964,太平三队,1439,105780016,105780016,重庆工程学院,1419,105761806,105761806,城市枫景,1372,105773716,105773716,火炬十一队,1398,105733253,105733253,蓝湖星宇,1420,105758465,105758465,红岩汽修厂,1418,105769448,105769448,双路中学,1179,105751609,105751609,废铁市场,1435,105786116,105786116,天星大桥,1291,105752751,105752751,洛矶山,1278,105793833,105793833,二片区,1412,105760495,105760495,新城港湾,,,,,,,,36,1209,,1209,105769723,29487046,双路中学
90,223,27,85,148,103,67,21,225,234,54,202,线路38,1272,105773872,105773872,高坝桥,1429,105760093,105760093,德恒物业城,1196,105727033,105727033,区行政服务中心,1267,105743574,105743574,金竹桥,1338,105790376,105790376,双湖招抚站,1285,105769873,105769873,新民村,1246,105768508,105768508,通桥镇政府,1190,105739961,105739961,水车铺,1431,105781413,105781413,金牛山庄,1441,105761139,105761139,龙水汽车站,1233,105713830,105713830,丁家坡,1406,105791561,105791561,宝顶景区停车场,,,,,,,,37,1210,,1210,105784899,29493206,龙景理想城
50,26,24,29,157,48,223,109,12,80,226,206,线路39,1229,105763588,105763588,中央龙庭,1195,105759022,105759022,龙水大桥,1193,105726873,105726873,南门派出所,1198,105727301,105727301,龙腾御景,1356,105771118,105771118,龙水二小,1226,105769968,105769968,黄桷花园,1429,105760093,105760093,德恒物业城,1295,105766138,105766138,经开区人民医院,1181,105754573,105754573,花市街派出所,1262,105748225,105748225,艾诺斯,1432,105785189,105785189,沙桥一队,1412,105760495,105760495,新城港湾,,,,,,,,38,1213,,1213,105791035,29494199,双桥龙滩子
89,117,62,6,30,19,20,8,134,52,80,184,线路40,1271,105772569,105772569,横店村,1304,105787628,105787628,四片区南站,1241,105740839,105740839,邮亭邮政所,913,105788196,105788196,西湖变电站,1199,105727953,105727953,西南城,1188,105727902,105727902,凤凰城,1189,105728895,105728895,金星村,1177,105763747,105763747,东升苑,1321,105749705,105749705,倒庙村委会,1231,105727776,105727776,城南新村,1262,105748225,105748225,艾诺斯,1387,105727866,105727866,城南加气站,,,,,,,,39,1214,,1214,105717674,29698636,大足客运中心
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1216,,1216,105726612,29703207,大足区妇幼保健院
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1219,,1219,105750964,29581783,朝野集团
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1220,,1220,105762964,29563260,街心花园
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1221,,1221,105750631,29472344,天福村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1222,,1222,105751947,29452736,红林村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1223,,1223,105746800,29431981,邮亭汽车站
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1224,,1224,105738198,29429882,邮亭镇政府
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1225,,1225,105748350,29442336,邮亭派出所
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1226,,1226,105769968,29480993,黄桷花园
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1227,,1227,105772003,29493255,车城广场
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1229,,1229,105763588,29564890,中央龙庭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,1230,,1230,105757610,29582408,还房新村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1231,,1231,105727776,29663828,城南新村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,1232,,1232,105726761,29697603,玛丽公馆
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1233,,1233,105713830,29705979,丁家坡
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1234,,1234,105724441,29698125,翠堤华府
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1235,,1235,105768835,29537525,高坡1队
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1236,,1236,105769659,29528089,茅店2队
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1237,,1237,105763029,29505311,九节河
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1238,,1238,105772425,29490191,车城明珠小区
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1239,,1239,105753923,29475670,天福六队
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1240,,1240,105750299,29447267,巨腾国际
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1241,,1241,105740839,29430545,邮亭邮政所
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1242,,1242,105742533,29431304,邮亭供电所
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1243,,1243,105747383,29439231,足丰水泥厂
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1244,,1244,105765607,29512072,三角钢材市场
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1245,,1245,105787908,29513432,重庆电信职业学院
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,1246,,1246,105768508,29521264,通桥镇政府
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1247,,1247,105766139,29546659,高坡2队
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,1248,,1248,105773738,29567420,大足一中
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1249,,1249,105734644,29641004,金星村二组
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1250,,1250,105730672,29703552,大足质监局
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,1251,,1251,105717779,29701384,大足印象
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1252,,1252,105759603,29749112,荷花山庄
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,1253,,1253,105766801,29747048,渡槽
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1255,,1255,105683210,29710047,明星
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,1256,,1256,105717835,29704695,大足区交委
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1257,,1257,105727070,29678422,大足职教中心
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1258,,1258,105761151,29559481,福源广场
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1259,,1259,105768851,29493251,西湖丽都
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1262,,1262,105748225,29483790,艾诺斯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,1263,,1263,105767700,29486733,双桥公园
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,1264,,1264,105767193,29489844,双桥公园
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,1265,,1265,105775825,29503419,山水名都
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,1266,,1266,105785021,29503398,双佛寺
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1267,,1267,105743574,29580477,金竹桥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,1268,,1268,105718850,29697054,南山公园
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1269,,1269,105745772,29717606,大晒坝
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,1270,,1270,105746980,29579379,龙西中学
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1271,,1271,105772569,29589942,横店村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1272,,1272,105773872,29568323,高坝桥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1273,,1273,105768322,29566660,老菜市
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1274,,1274,105765469,29477303,铸造中心
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,1275,,1275,105767388,29489855,公园路
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,1276,,1276,105777781,29489277,双桥中学
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,1277,,1277,105780285,29493237,千叶广场
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1278,,1278,105793833,29500468,二片区
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1279,,1279,105742101,29714124,双湖招抚站
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1280,,1280,105767083,29477660,鲜花港
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1281,,1281,105769453,29489973,兴业广场
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1282,,1282,105774127,29492288,车城印象
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1283,,1283,105784838,29490543,红岩宾馆
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1284,,1284,105793019,29503307,天星大桥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1285,,1285,105769873,29517456,新民村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1287,,1287,105799732,29516206,白鹤村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,1288,,1288,105737407,29708480,双塔中学
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,1289,,1289,105764060,29583036,龙东新村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,1291,,1291,105752751,29489771,洛矶山
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,1294,,1294,105760880,29485032,城市枫景
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,1295,,1295,105766138,29493224,经开区人民医院
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,1296,,1296,105770397,29496591,鞍钢贝卡尔特
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,1297,,1297,105790487,29493050,实验小学
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1298,,1298,105791176,29492364,重汽转盘
